data,dia,agua,refrigerante,alcool_ml,suco_ml,comeu_besteira,fez_exercicio?,Felicidade_manha,Felicidade_tarde,Felicidade_noite,total,media
14/10/2021,quinta-feira,750,350,0,200,sim,não,2,4,3,9,"3,00"
15/10/2021,sexta-feira,800,700,1000,0,não,não,4,2,5,11,"3,67"
16/10/2021,sábado,800,600,0,300,sim,não,3,4,3,10,"3,33"
17/10/2021,domingo,750,400,0,300,não,não,3,3,4,10,"3,33"
18/10/2021,segunda-feira,1500,0,0,300,não,sim,4,4,3,11,"3,67"
19/10/2021,terça-feira,750,700,0,250,não,não,2,3,3,8,"2,67"
20/10/2021,quarta-feira,750,0,0,300,não,não,2,3,3,8,"2,67"
21/10/2021,quinta-feira,750,300,0,300,não,não,3,4,4,11,"3,67"
22/10/2021,sexta-feira,300,500,0,0,sim,não,4,4,4,12,"4,00"
23/10/2021,sábado,100,750,100,0,não,não,4,3,4,11,"3,67"
24/10/2021,domingo,300,500,0,200,sim,não,4,3,2,9,"3,00"
25/10/2021,segunda-feira,750,0,0,250,não,não,2,3,3,8,"2,67"
26/10/2021,terça-feira,750,0,0,600,sim,não,3,3,3,9,"3,00"
27/10/2021,quarta-feira,750,0,0,300,não,não,4,3,4,11,"3,67"
28/10/2021,quinta-feira,750,0,0,300,não,não,3,3,3,9,"3,00"
29/10/2021,sexta-feira,750,0,0,300,não,não,4,3,4,11,"3,67"
30/10/2021,sábado,0,0,300,0,não,não,3,4,5,12,"4,00"
31/10/2021,domingo,100,750,0,0,sim,nao,4,4,3,11,"3,67"
1/11/2021,segunda-feira,100,0,0,500,não,sim,4,3,4,11,"3,67"
2/11/2021,terça-feira,500,500,0,0,não,não,4,4,4,12,"4,00"
3/11/2021,quarta-feira,750,250,0,0,não,não,4,4,5,13,"4,33"
4/11/2021,quinta-feira,400,800,100,250,sim,não,4,3,5,12,"4,00"
5/11/2021,sexta-feira,100,500,0,250,não,não,5,5,5,15,"5,00"
6/11/2021,sábado,200,500,300,300,não,não,4,4,5,13,"4,33"
7/11/2021,domingo,200,400,150,250,não,não,5,5,5,15,"5,00"
8/11/2021,segunda-feira,200,300,0,0,não,não,5,5,5,15,"5,00"
9/11/2021,terça-feira,400,400,0,0,não,não,5,5,5,15,"5,00"
10/11/2021,quarta-feira,500,600,0,0,não,não,5,5,4,14,"4,67"
11/11/2021,quinta-feira,400,300,0,0,não,não,4,4,4,12,"4,00"
12/11/2021,sexta-feira,250,0,0,0,não,não,5,4,4,13,"4,33"
13/11/2021,sábado,0,700,1400,0,não,não,5,5,5,15,"5,00"
14/11/2021,domingo,200,350,0,0,não,não,4,4,4,12,"4,00"
15/11/2021,segunda-feira,450,750,0,0,não,não,4,4,4,12,"4,00"
16/11/2021,terça-feira,750,400,0,0,não,não,3,4,4,11,"3,67"
17/11/2021,quarta-feira,400,300,0,300,sim,não,4,4,5,13,"4,33"
18/11/2021,quinta-feira,500,300,0,100,sim,não,3,4,4,11,"3,67"
19/11/2021,sexta-feira,300,200,300,0,não,não,4,5,5,14,"4,67"
20/11/2021,sábado,100,350,150,0,não,não,5,5,4,14,"4,67"
21/11/2021,domingo,300,400,100,0,não,não,5,4,4,13,"4,33"
22/11/2021,segunda-feira,500,500,0,0,não,não,3,4,4,11,"3,67"
23/11/2021,terça-feira,750,300,0,0,não,não,3,3,4,10,"3,33"
24/11/2021,quarta-feira,500,250,0,0,não,não,3,3,4,10,"3,33"
25/11/2021,quinta-feira,500,0,0,0,não,não,3,4,4,11,"3,67"
26/11/2021,sexta-feira,500,500,0,0,não,não,4,4,4,12,"4,00"
27/11/2021,sábado,100,1000,1050,0,não,não,4,4,3,11,"3,67"
28/11/2021,domingo,0,600,0,0,não,não,3,4,3,10,"3,33"
29/11/2021,segunda-feira,750,500,0,250,sim,sim,3,3,4,10,"3,33"
30/11/2021,terça-feira,1000,0,0,0,não,não,3,4,4,11,"3,67"
1/12/2021,quarta-feira,800,0,0,800,sim,sim,3,4,5,12,"4,00"
2/12/2021,quinta-feira,800,0,0,250,não,não,4,4,4,12,"4,00"
3/12/2021,sexta-feira,750,300,0,0,não,não,3,4,4,11,"3,67"
4/12/2021,sábado,150,300,350,0,não,não,4,4,4,12,"4,00"
5/12/2021,domingo,200,500,0,0,não,não,3,4,4,11,"3,67"
6/12/2021,segunda-feira,750,500,0,0,não,sim,3,4,4,11,"3,67"
7/12/2021,terça-feira,800,500,0,500,não,não,4,4,4,12,"4,00"
8/12/2021,quarta-feira,750,250,0,500,não,não,4,4,4,12,"4,00"
9/12/2021,quinta-feira,750,300,0,500,sim,não,4,3,4,11,"3,67"
10/12/2021,sexta-feira,750,150,0,0,não,não,3,4,4,11,"3,67"
11/12/2021,sábado,150,500,0,300,não,não,4,4,4,12,"4,00"
12/12/2021,domingo,100,600,0,0,não,não,4,4,4,12,"4,00"
13/12/2021,segunda-feira,300,300,0,0,não,sim,3,4,4,11,"3,67"
14/12/2021,terça-feira,450,200,0,200,não,não,4,4,4,12,"4,00"
15/12/2021,quarta-feira,500,0,0,0,não,não,4,4,4,12,"4,00"
16/12/2021,quinta-feira,250,300,0,0,sim,não,3,4,4,11,"3,67"
17/12/2021,sexta-feira,250,600,0,0,não,sim,4,3,4,11,"3,67"
18/12/2021,sábado,100,500,0,0,sim,não,4,4,4,12,"4,00"
19/12/2021,domingo,100,300,0,0,não,não,4,4,4,12,"4,00"
20/12/2021,segunda-feira,500,0,0,0,sim,não,5,4,4,13,"4,33"
21/12/2021,terça-feira,750,300,0,0,não,não,5,4,4,13,"4,33"
22/12/2021,quarta-feira,,,0,0,,não,5,4,4,13,"4,33"
23/12/2021,quinta-feira,,,,,,,,,,0,"0,00"
24/12/2021,sexta-feira,,,,,,,,,,0,"0,00"
25/12/2021,sábado,,,,,,,,,,0,"0,00"
26/12/2021,domingo,,,,,,,,,,0,"0,00"
27/12/2021,segunda-feira,,,,,,,,,,0,"0,00"
28/12/2021,terça-feira,,,,,,,,,,0,"0,00"
29/12/2021,quarta-feira,,,,,,,,,,0,"0,00"
30/12/2021,quinta-feira,,,,,,,,,,0,"0,00"
31/12/2021,sexta-feira,,,,,,,,,,0,"0,00"